N,P,K,temperature,humidity,ph,rainfall,PlantGrown,ReleaseRate,PolymerCombinations 
10,125,196,22.31253665,90.03577124,5.730557448,113.0688155,Oranges,3, '8.00mL AA+ NR/PVA(2:8)'
20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,Urad,0.009, '8.00mL AA+ NR/PVA(9:1)'
28,123,198,23.46260321,91.45665004,5.682751473,111.7763395,Strawberries,0.9, '8.00mL AA+ NR/PVA(6:4)'
28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,Soybean,0.9, '6.00mL AA+ NR/PVA(6:4)'
2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,Sesame,0.2, '6.00mL AA+ NR/PVA(6:4)'
2,140,197,22.69780133,92.82223419,5.53456749,105.0508234,Apple,0.8, '8.00mL AA+ NR/PVA(6:4)'
27,138,201,23.66682067,93.90191078,5.952367662,105.4004751,Tobacco,5, '8.00mL AA+ NR/PVA(2:8)'
30,127,204,22.50050273,92.45878335,6.126436584,100.9343903,Cauliflower,0.3, '6.00mL AA+ NR/PVA(6:4)'
32,145,203,23.83053666,90.84422164,6.406818518,109.5966791,sunflower,0.005, '6.00mL AA+ NR/PVA(9:1)'
29,139,205,23.64142354,93.74461474,6.155939453,116.6912176,Tomato,1, '6.00mL AA+ NR/PVA(2:8)'
26,126,195,21.41363812,92.99124545,5.878568981,118.3979065,Rajma,0.09, '8.00mL AA+ NR/PVA(8:2)'
40,136,202,22.85267372,94.5764581,5.935336308,117.5314026,Wheat,0.5, '8.00mL AA+ NR/PVA(6:4)'
6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,Lobia,0.6, '8.00mL AA+ NR/PVA(6:4)'
35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,Grapes,1, '8.00mL AA+ NR/PVA(2:8)'
17,136,196,23.87192332,90.49939035,5.882155988,103.0548094,Melons,0.4, '8.00mL AA+ NR/PVA(6:4)'
33,134,205,21.0365275,94.33919546,6.08551916,114.7412734,Rajma,0.009, '6.00mL AA+ NR/PVA(9:1)'
16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,Potato,2, '8.00mL AA+ NR/PVA(2:8)'
27,120,200,21.45278675,90.74531921,6.110218826,116.7036582,Soybean,0.1, '6.00mL AA+ NR/PVA(6:4)'
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,Lobia,0.7, '6.00mL AA+ NR/PVA(6:4)'
3,141,197,21.98141856,91.12719303,6.142803397,115.4789148,Cucumber,1, '6.00mL AA+ NR/PVA(2:8)'
15,123,204,22.52709326,92.54780429,6.365972688,115.3830068,Chana,0.8, '6.00mL AA+ NR/PVA(6:4)'
5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,Soybean,0.9, '6.00mL AA+ NR/PVA(6:4)'
10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,Spinach,0.05, '6.00mL AA+ NR/PVA(8:2)'
7,141,195,23.8812458,93.45067555,5.514253142,104.9116663,Watermelon,0.009, '8.00mL AA+ NR/PVA(9:1)'
2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,Tomato,0.8, '8.00mL AA+ NR/PVA(6:4)'
29,138,197,22.19055385,92.43764169,5.830892252,121.6622761,Grapes,6, '8.00mL AA+ NR/PVA(2:8)'
30,137,200,22.91430043,90.70475565,5.603413172,118.6044645,Pumpkins,7, '8.00mL AA+ NR/PVA(2:8)'
29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,Tobacco,0.008, '6.00mL AA+ NR/PVA(9:1)'
14,139,197,21.72484506,92.83975602,6.056529526,121.6961761,Pears,0.006, '6.00mL AA+ NR/PVA(9:1)'
18,125,203,22.44307715,91.59234006,6.160267496,102.5565807,Wheat,0.01, '6.00mL AA+ NR/PVA(8:2)'
33,143,204,21.1316077,91.95769858,5.814434775,122.5391946,Urad,4, '8.00mL AA+ NR/PVA(2:8)'
40,144,196,22.71750705,92.25479855,5.987262638,107.0289866,Lettuce,0.006, '8.00mL AA+ NR/PVA(9:1)'
9,143,197,23.75033085,92.88160462,5.570020684,117.6602827,Groundnut,0.07, '8.00mL AA+ NR/PVA(8:2)'
38,135,203,23.76121837,93.661643,5.965551311,100.825956,Watermelon,0.04, '8.00mL AA+ NR/PVA(8:2)'
28,130,196,22.13450646,94.67695747,6.062356467,112.9203223,Spinach,0.002, '6.00mL AA+ NR/PVA(9:1)'
35,142,203,21.17089176,90.23730166,5.895319002,123.6495149,Moong,0.04, '8.00mL AA+ NR/PVA(8:2)'
12,129,205,22.36238282,91.15761594,6.119432215,118.6832725,Oranges,0.001, '6.00mL AA+ NR/PVA(9:1)'
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,Rajma,0.4, '8.00mL AA+ NR/PVA(6:4)'
0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,Cabbage,0.07, '8.00mL AA+ NR/PVA(8:2)'
31,121,201,23.15791104,90.34396882,5.731535258,110.712841,Urad,0.009, '8.00mL AA+ NR/PVA(9:1)'
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,Arhar,5, '8.00mL AA+ NR/PVA(2:8)'
29,140,195,23.64082979,90.95257927,5.560521058,116.7431319,Rajma,1, '8.00mL AA+ NR/PVA(2:8)'
33,138,198,22.29423493,90.69033986,6.222390798,122.7418744,Rice,0.08, '6.00mL AA+ NR/PVA(8:2)'
14,140,197,23.35225078,90.90054697,6.071255131,113.0381382,Chana,0.2, '6.00mL AA+ NR/PVA(6:4)'
35,145,195,22.03911546,94.58075845,6.231950009,110.9804014,Soybean,2, '6.00mL AA+ NR/PVA(2:8)'
40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,Banana,0.04, '8.00mL AA+ NR/PVA(8:2)'
25,132,198,22.31944084,90.85174383,5.732757516,100.1173443,Pumpkins,0.05, '8.00mL AA+ NR/PVA(8:2)'
31,137,196,22.14464104,93.82567435,6.400321212,120.6310784,Potato,8, '6.00mL AA+ NR/PVA(2:8)'
36,144,196,23.65167552,94.50528753,6.496934492,115.3611268,Watermelon,1, '6.00mL AA+ NR/PVA(2:8)'
10,140,197,22.16939473,90.27185592,6.229498836,124.4683112,Sugarcane,0.9, '6.00mL AA+ NR/PVA(6:4)'
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,Tea,0.004, '6.00mL AA+ NR/PVA(9:1)'
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,Melons,5, '8.00mL AA+ NR/PVA(2:8)'
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,Broccoli,0.4, '6.00mL AA+ NR/PVA(6:4)'
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,Linseed,0.05, '8.00mL AA+ NR/PVA(8:2)'
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,Chana,0.4, '8.00mL AA+ NR/PVA(6:4)'
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,Spinach,0.03, '6.00mL AA+ NR/PVA(8:2)'
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,Oranges,3, '6.00mL AA+ NR/PVA(2:8)'
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,Tomato,0.1, '8.00mL AA+ NR/PVA(6:4)'
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,Tobacco,0.009, '8.00mL AA+ NR/PVA(9:1)'
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,Soybean,0.2, '8.00mL AA+ NR/PVA(6:4)'
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,Strawberries,0.002, '8.00mL AA+ NR/PVA(9:1)'
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,Potato,0.7, '6.00mL AA+ NR/PVA(6:4)'
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,Tea,0.007, '8.00mL AA+ NR/PVA(9:1)'
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,Moong,0.005, '8.00mL AA+ NR/PVA(9:1)'
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,Strawberries,0.006, '6.00mL AA+ NR/PVA(9:1)'
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,Arhar,0.3, '8.00mL AA+ NR/PVA(6:4)'
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,Rajma,0.4, '6.00mL AA+ NR/PVA(6:4)'
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,Tea,1, '6.00mL AA+ NR/PVA(2:8)'
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,Cucumber,0.09, '8.00mL AA+ NR/PVA(8:2)'
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,Watermelon,0.008, '6.00mL AA+ NR/PVA(9:1)'
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,Linseed,8, '6.00mL AA+ NR/PVA(2:8)'
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,Lobia,0.8, '8.00mL AA+ NR/PVA(6:4)'
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,Cucumber,5, '6.00mL AA+ NR/PVA(2:8)'
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,Onion,0.08, '6.00mL AA+ NR/PVA(8:2)'
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,Arhar,3, '6.00mL AA+ NR/PVA(2:8)'
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,Masoor,1, '6.00mL AA+ NR/PVA(2:8)'
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,Sesame,0.002, '8.00mL AA+ NR/PVA(9:1)'
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,Potato,0.02, '6.00mL AA+ NR/PVA(8:2)'
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,Tobacco,0.04, '8.00mL AA+ NR/PVA(8:2)'
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,Jute,0.04, '8.00mL AA+ NR/PVA(8:2)'
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,Strawberries,0.04, '6.00mL AA+ NR/PVA(8:2)'
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,Onion,0.2, '6.00mL AA+ NR/PVA(6:4)'
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,Tea,0.01, '6.00mL AA+ NR/PVA(8:2)'
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,Groundnut,0.8, '8.00mL AA+ NR/PVA(6:4)'
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,Spinach,0.02, '8.00mL AA+ NR/PVA(8:2)'
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,Pears,0.04, '6.00mL AA+ NR/PVA(8:2)'
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,Watermelon,0.006, '6.00mL AA+ NR/PVA(9:1)'
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,Rice,0.05, '6.00mL AA+ NR/PVA(8:2)'
99,73,53,26.29039046,81.06003778,5.871702211,118.6730366,Jute,0.03, '8.00mL AA+ NR/PVA(8:2)'
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,Chana,2, '6.00mL AA+ NR/PVA(2:8)'
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,Pumpkins,0.4, '6.00mL AA+ NR/PVA(6:4)'
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,Tobacco,0.6, '6.00mL AA+ NR/PVA(6:4)'
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,Rice,0.04, '8.00mL AA+ NR/PVA(8:2)'
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,Grapes,2, '6.00mL AA+ NR/PVA(2:8)'
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,Wheat,3, '6.00mL AA+ NR/PVA(2:8)'
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,Sesame,0.01, '8.00mL AA+ NR/PVA(8:2)'
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,Spinach,0.03, '8.00mL AA+ NR/PVA(8:2)'
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,Potato,0.009, '8.00mL AA+ NR/PVA(9:1)'
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,Sugarcane,8, '8.00mL AA+ NR/PVA(2:8)'
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,Onion,0.001, '8.00mL AA+ NR/PVA(9:1)'
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,sunflower,0.04, '8.00mL AA+ NR/PVA(8:2)'
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,Pears,3, '8.00mL AA+ NR/PVA(2:8)'
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,Moong,0.006, '6.00mL AA+ NR/PVA(9:1)'
93,81,50,27.71822477,76.57853189,6.036079266,102.2099836,Rajma,1, '6.00mL AA+ NR/PVA(2:8)'
95,75,45,28.98333432,82.95958244,5.829898502,109.022564,Lobia,0.007, '8.00mL AA+ NR/PVA(9:1)'
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,Tobacco,8, '6.00mL AA+ NR/PVA(2:8)'
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,Melons,0.001, '6.00mL AA+ NR/PVA(9:1)'
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,Sugarcane,0.04, '8.00mL AA+ NR/PVA(8:2)'
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,Pears,0.003, '8.00mL AA+ NR/PVA(9:1)'
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,Masoor,0.1, '8.00mL AA+ NR/PVA(6:4)'
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,Banana,0.2, '6.00mL AA+ NR/PVA(6:4)'
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,Chana,0.1, '6.00mL AA+ NR/PVA(6:4)'
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,Rajma,0.005, '6.00mL AA+ NR/PVA(9:1)'
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,Chana,0.04, '8.00mL AA+ NR/PVA(8:2)'
92,85,51,29.22118628,81.08183635,5.740764682,108.8616474,Moong,0.09, '8.00mL AA+ NR/PVA(8:2)'
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,Arhar,0.7, '8.00mL AA+ NR/PVA(6:4)'
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,Cauliflower,2, '6.00mL AA+ NR/PVA(2:8)'
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,Strawberries,0.004, '8.00mL AA+ NR/PVA(9:1)'
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,Lobia,0.004, '8.00mL AA+ NR/PVA(9:1)'
120,87,52,28.0764455,76.05522115,5.905494703,118.9923573,Jute,0.09, '8.00mL AA+ NR/PVA(8:2)'
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,Pumpkins,0.06, '6.00mL AA+ NR/PVA(8:2)'
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,Wheat,0.4, '6.00mL AA+ NR/PVA(6:4)'
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,Masoor,0.09, '6.00mL AA+ NR/PVA(8:2)'
111,88,55,29.44795403,78.34971537,5.505393833,96.45042585,Banana,0.4, '8.00mL AA+ NR/PVA(6:4)'
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,Strawberries,7, '8.00mL AA+ NR/PVA(2:8)'
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,Oranges,0.07, '8.00mL AA+ NR/PVA(8:2)'
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,Lettuce,0.04, '6.00mL AA+ NR/PVA(8:2)'
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,Jute,0.3, '6.00mL AA+ NR/PVA(6:4)'
118,88,51,25.44926208,79.49221962,6.201911642,100.6619171,Groundnut,5, '6.00mL AA+ NR/PVA(2:8)'
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,Grapes,0.03, '8.00mL AA+ NR/PVA(8:2)'
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,Banana,0.3, '6.00mL AA+ NR/PVA(6:4)'
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,Banana,0.09, '8.00mL AA+ NR/PVA(8:2)'
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,Lobia,0.8, '8.00mL AA+ NR/PVA(6:4)'
95,88,52,28.00316034,78.90085998,6.235461772,94.68180316,Tea,0.04, '6.00mL AA+ NR/PVA(8:2)'
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,Cauliflower,4, '6.00mL AA+ NR/PVA(2:8)'
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,Apple,4, '6.00mL AA+ NR/PVA(2:8)'
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,Sesame,5, '8.00mL AA+ NR/PVA(2:8)'
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,Grapes,0.06, '8.00mL AA+ NR/PVA(8:2)'
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,Chana,6, '8.00mL AA+ NR/PVA(2:8)'
112,87,48,27.19711623,77.3970629,6.200111068,99.46950465,Chana,0.007, '6.00mL AA+ NR/PVA(9:1)'
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,Banana,0.005, '8.00mL AA+ NR/PVA(9:1)'
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,Tea,0.002, '6.00mL AA+ NR/PVA(9:1)'
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,Jute,0.004, '6.00mL AA+ NR/PVA(9:1)'
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,Wheat,2, '8.00mL AA+ NR/PVA(2:8)'
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,Grapes,0.05, '6.00mL AA+ NR/PVA(8:2)'
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,Broccoli,3, '6.00mL AA+ NR/PVA(2:8)'
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,Grapes,0.006, '8.00mL AA+ NR/PVA(9:1)'
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,Wheat,0.006, '8.00mL AA+ NR/PVA(9:1)'
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,Watermelon,0.1, '6.00mL AA+ NR/PVA(6:4)'
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,Jute,0.08, '8.00mL AA+ NR/PVA(8:2)'
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,Spinach,0.001, 'F5'
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,Watermelon,4, 'F2'
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,Broccoli,8, 'F2'
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,Jute,0.8, '6.00mL AA+ NR/PVA(6:4)'
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,Soybean,2, '6.00mL AA+ NR/PVA(2:8)'
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,Groundnut,0.09, 'F4'
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,Carrots,0.5, 'F3'
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,Rice,0.009, '6.00mL AA+ NR/PVA(9:1)'
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,Spinach,0.009, 'F5'
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,Groundnut,0.01, '6.00mL AA+ NR/PVA(8:2)'
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,Tomato,0.4, 'F3'
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,Banana,7, 'F2'
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,Carrots,0.3, '6.00mL AA+ NR/PVA(6:4)'
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,Pumpkins,0.2, 'F3'
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,Rajma,0.8, '6.00mL AA+ NR/PVA(6:4)'
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,Pears,0.03, '6.00mL AA+ NR/PVA(8:2)'
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,Lettuce,0.09, 'F4'
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,Chana,0.007, 'F5'
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,Wheat,0.03, 'F4'
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,Watermelon,0.002, 'F5'
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,Broccoli,0.008, '6.00mL AA+ NR/PVA(9:1)'
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,Soybean,0.9, 'F3'
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,Grapes,0.7, 'F3'
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,Spinach,0.009, '6.00mL AA+ NR/PVA(9:1)'
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,Groundnut,6, '6.00mL AA+ NR/PVA(2:8)'
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,Tea,5, '6.00mL AA+ NR/PVA(2:8)'
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,Apple,4, 'F2'
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,Watermelon,0.2, 'F3'
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,Apple,0.04, 'F4'
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,Banana,0.06, '6.00mL AA+ NR/PVA(8:2)'
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,Potato,0.009, 'F5'
